Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
CT Thomas,Boise State,MWC,13,41,535,13.0,3,4,45,11.3,0,45,580,12.9,3
James Proche,SMU,American,12,93,1199,12.9,12,2,17,8.5,0,95,1216,12.8,12
Arthur Jackson III,Eastern Michigan,MAC,13,46,592,12.9,5,0,0,,0,46,592,12.9,5
C.J. Bolar,Vanderbilt,SEC,11,34,440,12.9,2,2,24,12.0,0,36,464,12.9,2
Keenen Johnson,Tulsa,American,11,34,438,12.9,4,0,0,,0,34,438,12.9,4
Brandon Smith,Iowa,Big Ten,11,28,361,12.9,2,0,0,,0,28,361,12.9,2
Chase Claypool,Notre Dame,Ind,13,50,639,12.8,4,0,0,,0,50,639,12.8,4
Aleva Hifo,Brigham Young,Ind,13,28,358,12.8,2,30,129,4.3,2,58,487,8.4,4
Dax Raymond,Utah State,MWC,10,27,345,12.8,2,1,0,0.0,0,28,345,12.3,2
Khari Blasingame,Vanderbilt,SEC,13,25,320,12.8,1,96,401,4.2,5,121,721,6.0,6
Josh Oliver,San Jose State,MWC,12,56,709,12.7,4,0,0,,0,56,709,12.7,4
T.J. Vasher,Texas Tech,Big 12,11,54,687,12.7,7,0,0,,0,54,687,12.7,7
Jake Ferguson,Wisconsin,Big Ten,13,36,456,12.7,4,0,0,,0,36,456,12.7,4
Warren Jackson,Colorado State,MWC,9,32,405,12.7,4,0,0,,0,32,405,12.7,4
Bryce Singleton,Florida International,CUSA,9,29,368,12.7,2,0,0,,0,29,368,12.7,2
K.J. Hill,Ohio State,Big Ten,14,70,885,12.6,6,1,-3,-3.0,0,71,882,12.4,6
Blake Banham,Eastern Michigan,MAC,13,60,758,12.6,5,8,32,4.0,1,68,790,11.6,6
Easop Winston,Washington State,Pac-12,13,52,654,12.6,8,0,0,,0,52,654,12.6,8
D.J. Stubbs,Liberty,Ind,12,50,631,12.6,1,0,0,,0,50,631,12.6,1
Dillon Stoner,Oklahoma State,Big 12,12,48,603,12.6,2,0,0,,0,48,603,12.6,2
Mitchell Wilcox,South Florida,American,10,43,540,12.6,2,0,0,,0,43,540,12.6,2
Amon-Ra St. Brown,USC,Pac-12,11,60,750,12.5,3,2,9,4.5,0,62,759,12.2,3
Johnathon Johnson,Missouri,SEC,13,59,737,12.5,5,1,8,8.0,0,60,745,12.4,5
Ben Skowronek,Northwestern,Big Ten,14,45,562,12.5,3,0,0,,0,45,562,12.5,3
Ty Lee,Middle Tennessee State,CUSA,14,71,883,12.4,7,4,18,4.5,0,75,901,12.0,7
JD Spielman,Nebraska,Big Ten,10,66,818,12.4,8,7,24,3.4,0,73,842,11.5,8
Brandon Presley,UNLV,MWC,12,35,434,12.4,3,1,-10,-10.0,0,36,424,11.8,3
Romello Brooker,Houston,American,12,33,409,12.4,7,0,0,,0,33,409,12.4,7
Aaron McLean,Connecticut,American,10,32,396,12.4,2,0,0,,0,32,396,12.4,2
Deondre Farrier,East Carolina,American,7,30,372,12.4,2,1,0,0.0,0,31,372,12.0,2
Kendrick Rogers,Texas A&M,SEC,9,27,336,12.4,5,0,0,,0,27,336,12.4,5
Cedric Byrd,Hawaii,MWC,14,79,970,12.3,9,0,0,,0,79,970,12.3,9
Quez Watkins,Southern Mississippi,CUSA,11,72,889,12.3,9,4,11,2.8,0,76,900,11.8,9
Justin McInnis,Arkansas State,Sun Belt,13,61,748,12.3,5,1,-11,-11.0,0,62,737,11.9,5
Quintin Morris,Bowling Green State,MAC,12,42,516,12.3,7,1,7,7.0,0,43,523,12.2,7
Justin Hobbs,Tulsa,American,11,39,480,12.3,3,0,0,,0,39,480,12.3,3
Josiah Deguara,Cincinnati,American,13,38,468,12.3,5,0,0,,0,38,468,12.3,5
Warren Redix,UTEP,CUSA,11,36,442,12.3,0,0,0,,0,36,442,12.3,0
Tarique Milton,Iowa State,Big 12,11,34,417,12.3,1,1,3,3.0,0,35,420,12.0,1
Ricky Smalling,Illinois,Big Ten,11,33,406,12.3,5,0,0,,0,33,406,12.3,5
Hezekiah Grimsley,Virginia Tech,ACC,11,31,382,12.3,1,12,75,6.3,1,43,457,10.6,2
Kanawai Noa,California,Pac-12,8,30,369,12.3,2,1,6,6.0,0,31,375,12.1,2
Brad Anderson,Middle Tennessee State,CUSA,6,27,332,12.3,0,23,122,5.3,1,50,454,9.1,1
K.D. Nixon,Colorado,Pac-12,11,52,636,12.2,4,9,-8,-0.9,1,61,628,10.3,5
Dalton Keene,Virginia Tech,ACC,11,28,341,12.2,3,0,0,,0,28,341,12.2,3
T.J. Simmons,West Virginia,Big 12,9,28,341,12.2,1,0,0,,0,28,341,12.2,1
Greg Dortch,Wake Forest,ACC,12,89,1078,12.1,8,5,20,4.0,0,94,1098,11.7,8
Kirk Merritt,Arkansas State,Sun Belt,13,83,1005,12.1,7,5,31,6.2,0,88,1036,11.8,7
Johnathan Boone,New Mexico State,Ind,12,59,715,12.1,3,2,-9,-4.5,0,61,706,11.6,3
Jared Rice,Fresno State,MWC,15,55,664,12.1,3,1,3,3.0,0,56,667,11.9,3
Donavan Hale,Indiana,Big Ten,12,42,508,12.1,6,0,0,,0,42,508,12.1,6
Tim Jones,Southern Mississippi,CUSA,11,42,508,12.1,1,3,11,3.7,0,45,519,11.5,1
Jhamon Ausbon,Texas A&M,SEC,9,31,375,12.1,0,0,0,,0,31,375,12.1,0
Jaelon Darden,North Texas,CUSA,13,48,575,12.0,4,3,16,5.3,0,51,591,11.6,4
Mik'Quan Deane,Western Kentucky,CUSA,12,44,530,12.0,6,3,2,0.7,0,47,532,11.3,6
Obi Obialo,Marshall,CUSA,13,42,505,12.0,4,0,0,,0,42,505,12.0,4
Kahale Warring,San Diego State,MWC,9,31,372,12.0,3,0,0,,0,31,372,12.0,3
Trestan Ebner,Baylor,Big 12,13,29,348,12.0,1,69,413,6.0,1,98,761,7.8,2
Isaiah Zuber,Kansas State,Big 12,12,52,619,11.9,5,1,17,17.0,0,53,636,12.0,5
Austin Walter,Rice,CUSA,13,44,525,11.9,2,133,564,4.2,4,177,1089,6.2,6
Ryheem Malone,Louisiana,Sun Belt,14,44,525,11.9,4,7,21,3.0,0,51,546,10.7,4
Maurice Alexander,Florida International,CUSA,13,40,474,11.9,5,17,115,6.8,2,57,589,10.3,7
Parris Campbell,Ohio State,Big Ten,14,90,1063,11.8,12,9,24,2.7,0,99,1087,11.0,12
