Player,School,Conf,G,Pass Rec,Pass Yds,Pass Avg,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Yds,Avg,TD
Ty Lee,Middle Tennessee State,CUSA,13,79,955,12.1,5,39,109,2.8,1,118,1064,9.0,6
Dante Pettis,Washington,Pac-12,13,63,761,12.1,7,3,50,16.7,0,66,811,12.3,7
Ben Johnson,Kansas,Big 12,11,30,363,12.1,1,0,0,,0,30,363,12.1,1
Tamir Jones,Georgia State,Sun Belt,11,33,396,12.0,0,0,0,,0,33,396,12.0,0
Malik Stanley,South Alabama,Sun Belt,8,27,324,12.0,3,1,3,3.0,0,28,327,11.7,3
Tavares Martin Jr,Washington State,Pac-12,11,70,831,11.9,9,0,0,,0,70,831,11.9,9
Adam Breneman,Massachusetts,Ind,11,64,764,11.9,4,0,0,,0,64,764,11.9,4
Ron'Quavion Tarver,Utah State,MWC,13,48,569,11.9,7,0,9,,0,48,578,12.0,7
Antoine Porter,Eastern Michigan,MAC,12,46,548,11.9,4,1,-16,-16.0,0,47,532,11.3,4
Troy Fumagalli,Wisconsin,Big Ten,12,46,547,11.9,4,0,0,,0,46,547,11.9,4
